Household ID,Last,First,Middle,YoB,MoB,DoB,Address,City,State,Zip,Email
0000000001,Woodard,Lawrence,J,1976,2,3,401 I St. SW,Washington,DC,20024,lawrence.woodard@fake.osdi.info
0000000002,Carter,Joshua,L,1979,4,18,3219 O St. NW,Washington,DC,20007,joshua.carter@fake.osdi.info
0000000002,Scott,Melissa,L,2000,8,23,3219 O St. NW,Washington,DC,20007,melissa.scott@fake.osdi.info
0000000002,Mcclain,Richard,J,2006,4,2,3219 O St. NW,Washington,DC,20007,richard.mcclain@fake.osdi.info
0000000002,Jefferson,Scott,D,1975,9,11,3219 O St. NW,Washington,DC,20007,scott.jefferson@fake.osdi.info
0000000002,Mathis,Johnny,F,1986,6,15,3219 O St. NW,Washington,DC,20007,johnny.mathis@fake.osdi.info
0000000002,Charles,Frank,G,1980,5,20,3219 O St. NW,Washington,DC,20007,frank.charles@fake.osdi.info
0000000002,Gamble,Walter,A,1972,4,3,3219 O St. NW,Washington,DC,20007,walter.gamble@fake.osdi.info
0000000002,Williams,Scott,B,1983,5,10,3219 O St. NW,Washington,DC,20007,scott.williams@fake.osdi.info
0000000002,Booker,Arthur,R,1971,9,6,3219 O St. NW,Washington,DC,20007,arthur.booker@fake.osdi.info
0000000002,Rivers,Samuel,R,1984,10,10,3219 O St. NW,Washington,DC,20007,samuel.rivers@fake.osdi.info
0000000003,Brooks,Louise,P,1991,3,14,1825 8th St. NW,Washington,DC,20001,louise.brooks@fake.osdi.info
0000000004,Douglas,Nicholas,F,1971,7,19,2201 18th St. NW,Washington,DC,20009,nicholas.douglas@fake.osdi.info
0000000004,Roberson,Helen,G,1972,4,5,2201 18th St. NW,Washington,DC,20009,helen.roberson@fake.osdi.info
0000000004,Cherry,William,R,1950,11,20,2201 18th St. NW,Washington,DC,20009,william.cherry@fake.osdi.info
0000000005,Hardy,Samuel,C,1987,4,12,300 Bryant Street NW,Washington,DC,20001,samuel.hardy@fake.osdi.info
0000000006,Wiggins,Stephanie,S,1946,1,2,2200 Minnesota Ave. SE,Washington,DC,20020,stephanie.wiggins@fake.osdi.info
0000000006,Charles,Emily,N,1924,4,27,2200 Minnesota Ave. SE,Washington,DC,20020,emily.charles@fake.osdi.info
0000000007,Simmons,Jimmy,J,1969,7,19,425 C St NE,Washington,DC,20002,jimmy.simmons@fake.osdi.info
0000000008,Davis,Cynthia,M,1960,12,16,3101 13th St. NW,Washington,DC,20010,cynthia.davis@fake.osdi.info
0000000009,Haynes,Peter,B,1953,10,23,920 F St. NE,Washington,DC,20002,peter.haynes@fake.osdi.info
0000000009,Willis,Julie,C,1954,5,12,920 F St. NE,Washington,DC,20002,julie.willis@fake.osdi.info
0000000010,Dickerson,Victor,H,1966,10,12,1300 Nicholson St. NW,Washington,DC,20011,victor.dickerson@fake.osdi.info
0000000010,Woodard,Bonnie,K,1959,7,13,1300 Nicholson St. NW,Washington,DC,20011,bonnie.woodard@fake.osdi.info
0000000010,Branch,Andrew,L,1958,5,8,1300 Nicholson St. NW,Washington,DC,20011,andrew.branch@fake.osdi.info
0000000010,Woodard,Jane,J,1990,7,24,1300 Nicholson St. NW,Washington,DC,20011,jane.woodard@fake.osdi.info
0000000010,Grant,Cynthia,K,1977,5,1,1300 Nicholson St. NW,Washington,DC,20011,cynthia.grant@fake.osdi.info
0000000011,Bryant,Victor,J,1990,8,6,219 50th St. SE,Washington,DC,20019,victor.bryant@fake.osdi.info
0000000012,Hawkins,Anna,K,1962,7,18,1919 15th St. SE,Washington,DC,20020,anna.hawkins@fake.osdi.info
0000000013,Haynes,Paul,K,1947,7,19,2725 10th St. NE,Washington,DC,20018,paul.haynes@fake.osdi.info
0000000013,Richardson,Katherine,M,1958,5,17,2725 10th St. NE,Washington,DC,20018,katherine.richardson@fake.osdi.info
0000000014,Terrell,Harry,W,1976,5,6,1900 Evarts St. NE,Washington,DC,20018,harry.terrell@fake.osdi.info
0000000014,Jackson,Lillian,A,1970,8,3,1900 Evarts St. NE,Washington,DC,20018,lillian.jackson@fake.osdi.info
0000000015,Clay,Randy,B,1930,3,1,1700 Q St. SE,Washington,DC,20020,randy.clay@fake.osdi.info
0000000015,Curry,Marie,M,1940,7,21,1700 Q St. SE,Washington,DC,20020,marie.curry@fake.osdi.info
0000000016,Miles,Lois,B,1966,5,5,4201 M.L. King Ave. SW,Washington,DC,20032,lois.miles@fake.osdi.info
0000000016,Sims,Scott,A,1957,10,17,4201 M.L. King Ave. SW,Washington,DC,20032,scott.sims@fake.osdi.info
0000000016,Tyler,Jason,D,1997,7,1,4201 M.L. King Ave. SW,Washington,DC,20032,jason.tyler@fake.osdi.info
0000000016,Brooks,Paula,S,1998,4,15,4201 M.L. King Ave. SW,Washington,DC,20032,paula.brooks@fake.osdi.info
0000000017,Holloway,Joshua,T,1983,1,2,1825 8th St. NW,Washington,DC,20001,joshua.holloway@fake.osdi.info
0000000018,Glover,Juan,J,1956,9,9,1125 New Jersey Ave. NW,Washington,DC,20001,juan.glover@fake.osdi.info
0000000019,James,Kimberly,B,1982,4,21,401 Mississippi Ave. SE,Washington,DC,20032,kimberly.james@fake.osdi.info
0000000020,Richardson,Deborah,J,1983,10,7,660 K St. NE,Washington,DC,20002,deborah.richardson@fake.osdi.info
0000000021,Benjamin,Stephen,P,1941,1,3,2425 N St. NW,Washington,DC,20037,stephen.benjamin@fake.osdi.info
0000000022,Singleton,Betty,L,1978,1,18,100 Gallatin St. NE,Washington,DC,20011,betty.singleton@fake.osdi.info
0000000022,Byrd,Samuel,F,2006,3,3,100 Gallatin St. NE,Washington,DC,20011,samuel.byrd@fake.osdi.info
0000000022,Butler,Russell,S,2007,11,23,100 Gallatin St. NE,Washington,DC,20011,russell.butler@fake.osdi.info
0000000023,Washington,Rose,C,1966,10,28,101 T Street NE,Washington,DC,20002,rose.washington@fake.osdi.info
0000000023,Singleton,Bonnie,C,1991,2,17,101 T Street NE,Washington,DC,20002,bonnie.singleton@fake.osdi.info
0000000023,Ingram,Tina,A,1989,6,13,101 T Street NE,Washington,DC,20002,tina.ingram@fake.osdi.info
0000000023,Green,Ruth,D,1985,5,9,101 T Street NE,Washington,DC,20002,ruth.green@fake.osdi.info
0000000023,Mcneil,Bobby,J,2004,7,11,101 T Street NE,Washington,DC,20002,bobby.mcneil@fake.osdi.info
0000000023,Dorsey,Shawn,J,2004,9,20,101 T Street NE,Washington,DC,20002,shawn.dorsey@fake.osdi.info
0000000024,Charles,Louise,K,1949,9,7,151 T. St. NE,Washington,DC,20002,louise.charles@fake.osdi.info
0000000024,Jackson,Charles,R,1934,1,8,151 T. St. NE,Washington,DC,20002,charles.jackson@fake.osdi.info
0000000025,Gamble,Justin,R,1966,2,3,800 Ingraham St. NW,Washington,DC,20011,justin.gamble@fake.osdi.info
0000000026,Hines,Gloria,S,1930,4,2,704 26th St NE,Washington,DC,20002,gloria.hines@fake.osdi.info
0000000027,Bullock,James,R,1989,3,5,4400 Brooks St. NE,Washington,DC,20019,james.bullock@fake.osdi.info
0000000027,Thomas,Mark,R,1994,2,13,4400 Brooks St. NE,Washington,DC,20019,mark.thomas@fake.osdi.info
0000000028,Mcclain,Patricia,L,1930,2,26,1720 1st St. NE,Washington,DC,20002,patricia.mcclain@fake.osdi.info
0000000029,Flowers,Stephen,E,1965,10,19,3375 Minnesota Ave. SE,Washington,DC,20019,stephen.flowers@fake.osdi.info
0000000030,Roberson,Virginia,L,1956,3,3,300 Bryant Street NW,Washington,DC,20001,virginia.roberson@fake.osdi.info
0000000031,Wiggins,Debra,H,1944,5,24,4399 South Capitol Terr. SW,Washington,DC,20032,debra.wiggins@fake.osdi.info
0000000032,Tate,Eric,R,1952,1,16,2425 N St. NW,Washington,DC,20037,eric.tate@fake.osdi.info
0000000033,Banks,Janice,M,1960,4,5,1700 Q St. SE,Washington,DC,20020,janice.banks@fake.osdi.info
0000000033,Frazier,Julia,C,1968,9,6,1700 Q St. SE,Washington,DC,20020,julia.frazier@fake.osdi.info
0000000033,Hines,Ryan,B,2001,12,19,1700 Q St. SE,Washington,DC,20020,ryan.hines@fake.osdi.info
0000000033,Green,Raymond,F,1991,5,5,1700 Q St. SE,Washington,DC,20020,raymond.green@fake.osdi.info
0000000034,Mays,Debra,N,1964,2,10,2400 Shannon Pl. SE,Washington,DC,20020,debra.mays@fake.osdi.info
0000000034,Woods,Ronald,R,1967,10,28,2400 Shannon Pl. SE,Washington,DC,20020,ronald.woods@fake.osdi.info
0000000034,Alexander,Elizabeth,A,2007,1,8,2400 Shannon Pl. SE,Washington,DC,20020,elizabeth.alexander@fake.osdi.info
